aggregate_id,aggregation_number,delta_t,sd,n_samples
351,5,1200.0,269.5034819982967,35
351,5,1500.0,320.28144850904215,34
351,5,1800.0,362.1401801567059,33
351,5,2100.0,370.6321281730826,32
351,5,2400.0,410.7569731023534,31
352,4,300.0,93.41560181684294,22
352,4,600.0,211.8972638924367,21
352,4,900.0,352.7511475100856,20
352,4,1200.0,473.91368194329124,19
352,4,1500.0,599.7165107410053,18
352,4,1800.0,683.282725919207,17
352,4,2100.0,731.808967191972,16
352,4,2400.0,801.684871344268,15
353,13,300.0,21.870976308108627,12
353,13,600.0,28.24460459581654,11
353,13,900.0,40.64279637642774,10
353,13,1200.0,49.3615462899992,9
353,13,1500.0,49.71924874818173,8
353,13,1800.0,55.990289015884706,7
353,13,2100.0,69.57571259092865,6
353,13,2400.0,65.43827130997103,5
354,4,300.0,63.80826766059813,11
354,4,600.0,97.1879452202956,10
354,4,900.0,141.20430243021553,9
354,4,1200.0,170.62392258008384,8
354,4,1500.0,224.24996382895205,7
354,4,1800.0,339.03390666773913,6
354,4,2100.0,392.47225624182306,5
354,4,2400.0,494.98768359396274,4
355,12,300.0,50.80958521442694,9
355,12,600.0,87.73004409001825,8
355,12,900.0,103.72333155958184,7
355,12,1200.0,144.02522509281607,6
355,12,1500.0,148.4806702148463,5
355,12,1800.0,216.09333926476228,4
355,12,2100.0,262.6948564128856,3
355,12,2400.0,280.3529651535197,2
356,1,300.0,192.494407954356,6
356,1,600.0,476.35198208539566,5
356,1,900.0,686.079331675308,4
356,1,1200.0,729.714246410212,3
356,1,1500.0,890.2559530777246,2
356,1,1800.0,1181.0143650156378,1
357,1,300.0,92.01630308502543,1
358,1,300.0,77.19477551990882,1
361,2,300.0,86.33820291687776,15
361,2,600.0,141.3440800456363,14
361,2,900.0,175.62790552083172,13
361,2,1200.0,212.80861794958733,12
361,2,1500.0,210.95810281962179,11
361,2,1800.0,287.49960791981533,10
361,2,2100.0,315.688879942675,9
361,2,2400.0,324.86521532802374,8
368,6,300.0,45.330430915429396,22
368,6,600.0,122.18196231476229,21
368,6,900.0,200.82245228727058,20
368,6,1200.0,265.79356633648666,19
368,6,1500.0,307.3384297933231,18
368,6,1800.0,332.06975205351915,17
368,6,2100.0,383.87175871258887,16
368,6,2400.0,448.01607377515,15
369,3,300.0,97.03415849524293,18
369,3,600.0,200.91215907830346,17
369,3,900.0,277.0904561175105,16
369,3,1200.0,327.0209601359451,15
369,3,1500.0,379.5548961006679,14
369,3,1800.0,415.55113400067023,13
369,3,2100.0,399.71025380491056,12
369,3,2400.0,341.8648119642234,11
370,1,300.0,58.95152540447472,1
371,1,300.0,77.99918303318749,1
372,10,300.0,39.998442433002545,19
372,10,600.0,78.94166338174841,18
372,10,900.0,105.94760927650859,17
